Freq [GHz],"db(s(1,1))"
1.5,-2.113478651
1.544444444,-1.608227209
1.588888889,-1.412400616
1.633333333,-1.711035381
1.677777778,-9.18098849
1.722222222,-0.702441671
1.766666667,-0.28166473
1.811111111,-0.256520064
1.855555556,-0.263754444
1.9,-0.28435435
1.944444444,-0.3191478
1.988888889,-0.373021135
2.033333333,-0.454512692
2.077777778,-0.57813225
2.122222222,-0.769368316
2.166666667,-1.07510944
2.211111111,-1.58633361
2.255555556,-2.48984904
2.3,-4.191041814
2.344444444,-7.628562012
2.388888889,-15.30771913
2.433333333,-17.59882221
2.477777778,-9.775905229
2.522222222,-6.456207838
2.566666667,-4.874441572
2.611111111,-4.130111648
2.655555556,-3.901152606
2.7,-4.0967464
2.744444444,-4.760027043
2.788888889,-6.036782585
2.833333333,-8.093778051
2.877777778,-10.65303045
2.922222222,-11.85514419
2.966666667,-10.53084058
3.011111111,-8.7006898
3.055555556,-7.388872201
3.1,-6.626956442
3.144444444,-6.306432938
3.188888889,-6.348692277
3.233333333,-6.677699107
3.277777778,-7.13165131
3.322222222,-7.884555502
3.366666667,-10.87164656
3.411111111,-19.12011565
3.455555556,-20.97035902
3.5,-12.32286908
3.544444444,-8.431549445
3.588888889,-6.273765751
3.633333333,-4.973051723
3.677777778,-4.156187436
3.722222222,-3.641281536
3.766666667,-3.335714248
3.811111111,-3.195234432
3.855555556,-3.207117527
3.9,-3.38494055
3.944444444,-3.769142052
3.988888889,-4.425063606
4.033333333,-5.41182376
4.077777778,-6.653067579
4.122222222,-7.696629703
4.166666667,-7.919612292
4.211111111,-7.453895279
4.255555556,-6.956385722
4.3,-6.807083769
4.344444444,-7.071898598
4.388888889,-7.545840628
4.433333333,-7.701063263
4.477777778,-7.158849962
4.522222222,-6.235326038
4.566666667,-5.383126887
4.611111111,-4.767940661
4.655555556,-4.386526596
4.7,-4.191306169
4.744444444,-4.12457911
4.788888889,-4.116587294
4.833333333,-4.086866919
4.877777778,-3.969209885
4.922222222,-3.745445006
4.966666667,-3.447794048
5.011111111,-3.126687161
5.055555556,-2.821409029
5.1,-2.552338401
5.144444444,-2.32592958
5.188888889,-2.141396414
5.233333333,-1.995152592
5.277777778,-1.883046208
5.322222222,-1.801270518
5.366666667,-1.746628278
5.411111111,-1.716523839
5.455555556,-1.708861271
5.5,-1.721925153
